adidu,arr_ville,type,pop2021,log_priv2021,mono_pr,imm_recent_pr,autoch_minor_pr,sans_diplome_pr,pr_men_bil,pr_ind_mpc,pr_log_autor_axes_ps,pr_laeq60pl,pr_nocanop,pr_indust300m,pr_logchaleur,mefaits_pond,collisions_rt,crimes_pond,nb_commerces_alimentaires_moyenne_ponderee,nb_organismes_communautaires_moyenne_ponderee,nb_pharmacies_moyenne_ponderee,nb_ecoles_primaires_moyenne_ponderee,nb_pass_tc,nb_emplois_acces_tc_30min,nb_biblio_lieux_cult_principaux_moy_pond,nb_equipement_distinct_moy_pond,superficie_parc_accessible_moy_pond,ACP_sociale,ACP_econo,ACP_environn,ACP_securité,ACP_proximité,ACP_CultSportLoisir,ACP_sociale_2quintiles,ACP_econo_2quintiles,ACP_enviro_2quintiles,ACP_securite_2quintiles,ACP_proximite_2quintiles,ACP_CultSportLoisir_2quintiles,Indice_emv
24661492,Villeray-Saint-Michel-Parc-Extension,Arrondissement,433,274,21.05263157894737,3.529411764705882,23.52941176470588,13.46153846153846,17.5,17.6,100,59.12408759124088,100,0,100,268.270073,36.81751825,1142.109489,3.591240876,13.81751825,2.591240876,2,621.033088,60380,0.8175182482,9,3.885522217620621,-0.1200991620470116,0.8895084539692858,1.7055096353827681,0.8709013439470898,0.12894003463305953,0.4915331020983783,0,1,1,1,0,0,3
24661493,Villeray-Saint-Michel-Parc-Extension,Arrondissement,708,399,16.21621621621622,7.8125,35.15625,8.75,22.6,18.6,51.88,0,100,0,100,304.5864662,41,1223.774436,4.481203008,14.48120301,4.481203008,3,736.489796,60380,2,9,5.08871610044078,-0.10611341378884852,1.2830130303023854,0.9178164628694089,1.1026394680923637,0.6466576927604029,1.3637510162793258,0,1,1,1,0,0,3
24661494,Villeray-Saint-Michel-Parc-Extension,Arrondissement,683,312,24.24242424242424,7.971014492753622,59.12408759124088,21.33333333333334,21.6,19.6,0,0,100,0,100,319,39,1215,5,15,5,3,691.759615,60380,2,9,6.74290670109725,1.1749524312717867,1.2913572181677313,0.6172912548715691,1.090199134205341,0.7289365549886556,1.3512318760868498,1,1,1,1,0,0,4
24661495,Villeray-Saint-Michel-Parc-Extension,Arrondissement,397,212,20,2.298850574712644,39.08045977011494,16.3265306122449,20,21.8,100,0,100,0,100,313,44,1236,8,16,5,4,676.847926,60380,0,6,7.44191363275536,0.16513666869307106,1.3475990598453693,1.1965611237957008,1.1910176873589535,0.998175373838962,-0.5898732950533504,1,1,1,1,0,1,5
24661496,Villeray-Saint-Michel-Parc-Extension,Arrondissement,350,181,12.5,0,49.31506849315068,17.39130434782609,25,17.8,100,0,100,0,100,297,43,1178,8,18,5,4,673.079545,103845,0,10,6.20442416997175,-0.06198456126936001,1.3773633556737819,1.1965611237957008,1.0881714359767805,1.1318542223661245,0.013066628429097678,0,1,1,1,0,0,3
24661497,Villeray-Saint-Michel-Parc-Extension,Arrondissement,333,184,11.76470588235294,0,35.52631578947368,8.695652173913043,0,8,0,0,100,0,0,293,54,1155,8,20,5,3,669.875676,103845,1,9,5.50541723831364,-0.6676102730202397,-0.9017181310914973,-0.36150806238402927,1.2771016799901023,1.05478489348224,0.6152802824438425,0,0,0,1,0,0,1
24661498,Villeray-Saint-Michel-Parc-Extension,Arrondissement,326,174,13.33333333333333,4.615384615384616,53.84615384615385,9.30232558139535,11.5,21.5,0,0,0,0,0,251.6724138,47.20689655,995.8448276,7.396551724,15.62068966,3.603448276,1.603448276,613.034286,103845,1.603448276,9,8.357850614487099,-0.02319791377039716,0.789454587335563,-1.293536915399072,0.9212716319010946,0.530428044278062,1.0434529860831638,0,1,0,1,0,0,2
24661499,Villeray-Saint-Michel-Parc-Extension,Arrondissement,557,338,11.53846153846154,2.777777777777778,16.82242990654206,8.333333333333332,18,13,0,0,0,0,25.14792899408284,343.535503,62.32248521,1235.381657,10.20414201,26.28106509,3.74852071,2,651.134111,62125,2,10.00591716,11.55960730666586,-0.9076159238997242,0.5922468959005327,-1.0473891581010664,1.6226352594632993,0.8929833609016798,1.464050105944858,0,1,0,1,0,0,2
24661500,Villeray-Saint-Michel-Parc-Extension,Arrondissement,500,308,12,4.444444444444445,16.85393258426966,3.174603174603174,14.7,10,0,93.5064935064935,100,0,0,366.79220780000003,58,1294.155844,10.87012987,44.76623377,3.064935065,3.87012987,1110.55082,113870,2,12.93506494,12.18766840574352,-0.9974496682105424,0.1694257343787825,0.44340906416636944,1.6384001759077418,1.841049965725385,1.8939636630134618,0,0,1,1,0,0,2
24661501,Villeray-Saint-Michel-Parc-Extension,Arrondissement,520,312,10.71428571428571,0,26.16822429906542,6.756756756756757,22.9,14.2,0,53.52564102564102,100,0,100,388.7532051,65.25320513,1418.567308,14.62179487,47.50961538,4.134615385,4.413461538,1244.350379,113870,2,11.30128205,11.20224708537681,-0.9594287054559656,0.9874203098067017,1.0780475462850116,1.9305122309032157,2.3749157677684662,1.6589785273330402,0,1,1,1,0,0,3
24661502,Villeray-Saint-Michel-Parc-Extension,Arrondissement,473,286,8.695652173913043,0,30.3370786516854,11.86440677966102,11.4,13.3,0,0,100,0,100,355.020979,63.12937063,1355.986014,13.97202797,43.52447552,2.762237762,3,1260.848958,233085,2,9.447552448,11.71440837051943,-0.7898733267575019,0.19696155433442356,0.6172912548715691,1.7603541302414563,2.1582416832532756,1.3800207958463795,0,0,1,1,0,0,2
24661503,Villeray-Saint-Michel-Parc-Extension,Arrondissement,460,331,14.28571428571428,6.315789473684211,44.68085106382978,7.407407407407407,25,16.8,0,49.84894259818731,100,0,100,386.0090634,69.00302115,1407.410876,19,55,5.501510574,3,1288.75,233085,2,9.996978852,5.70020780733163,-0.13855540217577772,1.3058781205186405,1.0463980059970648,1.989069291673237,3.050733032613988,1.5070684531359884,0,1,1,1,0,0,3
24661504,Villeray-Saint-Michel-Parc-Extension,Arrondissement,582,359,16,8.49056603773585,32.0754716981132,6.666666666666667,20,30.2,0,0,100,0,100,371.3983287,70.10306407,1374.192201,18.73537604,51.83844011,6,3,1275.410239,153195,1.367688022,5.838440111,26.94965569854806,-0.21777678842715206,1.9480750351485578,0.6172912548715691,1.9502978304590162,2.8632591759104793,0.25787624276850585,0,1,1,1,0,0,3
24661505,Villeray-Saint-Michel-Parc-Extension,Arrondissement,420,247,10.52631578947368,9.090909090909092,26.13636363636364,3.174603174603174,15,10.3,0,0,100,0,100,324.6477733,61.46153846,1230.048583,10.80566802,41.08906883,3.477732794,3.133603239,1070.624189,233085,2,8,46.522497048311394,-0.68140080321758,0.20981361911226376,0.6172912548715691,1.5571932338385974,1.9606068367376706,0.9017808995249851,0,0,1,1,0,0,2
24661506,Villeray-Saint-Michel-Parc-Extension,Arrondissement,677,418,13.79310344827586,3.424657534246575,30.13698630136986,10.98901098901099,23.9,12.4,100,100,100,0,100,333.1052632,65.48325359,1256.447368,16.4569378,49.9138756,5.456937799,3,1315.689652,153195,1,4,18.57452580525418,-0.4310974876955828,0.9218879338172427,2.0573752730232098,1.6769282403927337,2.6630866476720896,-0.22559655752283198,0,1,1,1,0,0,3
24661507,Villeray-Saint-Michel-Parc-Extension,Arrondissement,535,284,7.407407407407407,0,5.660377358490567,6.944444444444445,0,4.7,59.86,0,100,0,100,359.7816901,63.3943662,1330.71831,20.8028169,49.3943662,5,2.401408451,1320.90856,428035,1,4,36.49670426488149,-1.483480888369398,-1.1376194071034642,0.9640421984095544,1.756852729976966,3.3055462443600967,-0.3612340497208916,0,0,1,1,0,1,3
24661508,Villeray-Saint-Michel-Parc-Extension,Arrondissement,432,243,13.04347826086956,4.597701149425287,14.94252873563219,4.6875,0,5.7,0,0,100,0,42.38683127572017,344.0411523,57.64197531,1261.703704,20.08230453,39.52674897,4,3.403292181,1018.749393,428035,1,4.403292181,36.37819421460595,-0.9217726946369376,-1.0661341719483228,0.053373952749002196,1.5524503300654953,2.846245921519442,-0.30049116743375853,0,0,0,1,0,0,1
24661509,Villeray-Saint-Michel-Parc-Extension,Arrondissement,580,345,10.71428571428571,3.937007874015748,25.98425196850393,5.376344086021505,9.6,10.2,0,0,100,0,100,383.1130435,52.39710145,1317.701449,24.05797101,39.10724638,4.64057971,3,1297.925,428035,1,2.979710145,37.67784836484695,-0.83212366534953075,-0.1382965597681474,0.6172912548715691,1.584983380807675,3.2381508124920244,-0.521577602837479,0,0,1,1,0,1,3
24661510,Villeray-Saint-Michel-Parc-Extension,Arrondissement,463,248,11.53846153846154,2.857142857142857,14.15094339622642,5.970149253731343,11.1,11.4,64.11,0,100,0,100,408.4879032,65.97580645,1449.774194,25.0766129,48.41129032,4.641129032,3,1402.812087,428035,1,4.282258065,37.50713661711634,-1.039477028521095,0.04219729335271601,0.98866116783883,2.015578952656843,3.5513929661738066,-0.32699584682445415,0,0,1,1,0,1,3
